ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field Description=\"Select Expense Name for the selected category.\" DisplayName=\"Expense Name\" Format=\"Dropdown\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"ExpenseName\" Required=\"TRUE\" Title=\"Expense Name\" Type=\"Text\" ID=\"{fbb7313b-157d-4be4-9c9f-c402f77fbba9}\" StaticName=\"ExpenseName\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CommaSeparator=\"FALSE\" CustomUnitOnRight=\"TRUE\" Decimals=\"2\" Description=\"Enter the expense amount.\" DisplayName=\"Amount\" Format=\"Dropdown\" Name=\"Amount\" Percentage=\"FALSE\" Required=\"TRUE\" Title=\"Amount\" Type=\"Number\" Unit=\"None\" ID=\"{4b8106e3-f54a-4c6f-bc13-5a28e8e230f4}\" StaticName=\"Amount\" />","<Field Description=\"Select a date\" DisplayName=\"Expense Date\" FriendlyDisplayFormat=\"Disabled\" Format=\"DateOnly\" IsModern=\"TRUE\" Name=\"ExpenseDate\" Required=\"TRUE\" Title=\"Expense Date\" Type=\"DateTime\" ID=\"{269d52cf-32a1-49dc-931c-9e15ddf50939}\" StaticName=\"ExpenseDate\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" Description=\"Choose between Yes/ No whether you have bills?\" DisplayName=\"Do you have bills?\" Format=\"Dropdown\" Name=\"Doyouhavebills_x003f_\" Required=\"TRUE\" Title=\"Do you have bills?\" Type=\"Boolean\" ID=\"{f4e27f9f-68b3-4585-86bc-cfa2bd0a5cb5}\" StaticName=\"Doyouhavebills_x003f_\"><Default>0</Default></Field>","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" Description=\"(If any) User can attach bill copy\" DisplayName=\"Bill Copy\" Format=\"Thumbnail\" Name=\"BillCopy\" Title=\"Bill Copy\" Type=\"Thumbnail\" ID=\"{ec0668bc-1beb-42da-9ba7-7cc0f69e187a}\" StaticName=\"BillCopy\" />","<Field DisplayName=\"Category\" Format=\"Dropdown\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"Category\" Required=\"TRUE\" Title=\"Category\" Type=\"Text\" ID=\"{ee2a827a-2baa-4d3f-b9b7-acd8db19f2cf}\" StaticName=\"Category\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"EntraObjectID\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"Username\" Required=\"TRUE\" Title=\"EntraObjectID\" Type=\"Text\" ID=\"{2d9f47b9-77ee-4153-ad5e-1c25ddae8cea}\" StaticName=\"Username\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Title\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"EntraObjectID","Category","Expense Name","Amount","Expense Date","Do you have bills?","Bill Copy","ID"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Essential","Transportation ","20000.00","2025-07-05T07:00:00Z","False",,"14"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Financial Goals & Savings","Emergency Fund","200000.00","2025-07-05T07:00:00Z","False",,"15"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Lifestyle","Entertainment ","10000.00","2025-07-11T07:00:00Z","False",,"16"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Financial Goals & Savings","Investments","12000.00","2025-07-04T07:00:00Z","True",,"17"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Financial Goals & Savings","Investments","90000.00","2025-07-10T07:00:00Z","False",,"18"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Miscellaneous","Household Supplies","89.00","2025-07-13T07:00:00Z","False",,"19"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Essential","Transportation ","100.00","2025-07-13T07:00:00Z","True",,"20"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Essential","Transportation ","120.00","2025-07-13T07:00:00Z","True",,"21"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Family & Personal Care","Childcare / Education","10000.00","2025-07-04T07:00:00Z","True","Reserved_ImageAttachment_[8]_[BillCopy][32]_[ab56b6aafe734010a84b79ed73b12eaa][1]_[1].png","22"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Financial Goals & Savings","Emergency Fund","4000.00","2025-07-03T07:00:00Z","False",,"23"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Lifestyle","Shopping","3000.00","2025-07-08T07:00:00Z","True","Reserved_ImageAttachment_[8]_[BillCopy][32]_[155142e426d04d16b626836d22b099c0][1]_[1].jpeg","24"
"a0475d1c-642f-401c-8d74-66ccc88e5ca5","Lifestyle","Dining Out","4900.00","2025-07-19T07:00:00Z","True","Reserved_ImageAttachment_[8]_[BillCopy][32]_[6a465fdccf084727a648ac78d8df6be0][1]_[1].png","25"
