ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" Description=\"Select Income Category\" DisplayName=\"Category\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"Category\" Required=\"TRUE\" Title=\"Category\" Type=\"Text\" ID=\"{4f656c61-dc29-4f40-a975-14a3f2b77cdb}\" StaticName=\"Category\" />","<Field Description=\"Select Income Name for the selected category\" DisplayName=\"Income Name\" Format=\"Dropdown\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"IncomeName\" Required=\"TRUE\" Title=\"Income Name\" Type=\"Text\" ID=\"{5081e69b-79e3-42f8-86bd-12d85711f44f}\" StaticName=\"IncomeName\" />","<Field CommaSeparator=\"FALSE\" CustomUnitOnRight=\"TRUE\" Decimals=\"2\" Description=\"Enter Income Amount\" DisplayName=\"Amount\" Format=\"Dropdown\" IsModern=\"TRUE\" Name=\"Amount\" Percentage=\"FALSE\" Required=\"TRUE\" Title=\"Amount\" Type=\"Number\" Unit=\"None\" ID=\"{b6191a1a-31b3-44b9-9ef0-456e572a067c}\" StaticName=\"Amount\" />","<Field Description=\"Select Income Date\" DisplayName=\"Income Date\" FriendlyDisplayFormat=\"Disabled\" Format=\"DateOnly\" IsModern=\"TRUE\" Name=\"IncomeDate\" Required=\"TRUE\" Title=\"Income Date\" Type=\"DateTime\" ID=\"{df54411f-94dd-40f2-aa61-4a428e06227e}\" StaticName=\"IncomeDate\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" DisplayName=\"EntraObjectID\" Format=\"Dropdown\" MaxLength=\"255\" Name=\"EntraObjectID\" Required=\"TRUE\" Title=\"EntraObjectID\" Type=\"Text\" ID=\"{5bb834b9-799f-4b8b-94d7-9f14ea049006}\" StaticName=\"EntraObjectID\" />","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Title\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"Category","Income Name","Amount","Income Date","EntraObjectID","ID"
"Primary Income","Salary","50000.00","2025-07-05T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","12"
"Government or Assistance","Unemployment Benefits","5000.00","2025-07-05T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","13"
"Primary Income","Business","15000.00","2025-07-03T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","14"
"Primary Income","Salary","50000.00","2025-07-05T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","15"
"One-time/ Miscellaneous","Sale of Items","100000.00","2025-07-10T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","16"
"Government or Assistance","Tax Refunds","40000.00","2025-07-01T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","17"
"Secondary Income","Overtime Pay","20000.00","2025-07-05T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","18"
"Passive Income","Dividends","189.00","2025-07-10T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","19"
"Primary Income","Salary","50000.00","2025-07-05T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","20"
"Passive Income","Dividends","1900.00","2025-07-07T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","21"
"Primary Income","Freelance","15000.00","2025-07-11T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","22"
"Secondary Income","Overtime Pay","5000.00","2025-07-03T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","23"
"Passive Income","Dividends","4000.00","2025-07-19T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","24"
"One-time / Miscellaneous","Tax Refund","30000.00","2025-07-10T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","27"
"Passive Income","Interest Earnings","7000.00","2025-07-08T07:00:00Z","a0475d1c-642f-401c-8d74-66ccc88e5ca5","28"
